Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/3/2025 2:30:13 PM	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	1.05	62.76	-0.92	28.56	0	1045	0	0	0	0	0	0	1045	114.47	0.34	0.44	6.85	1.00	5.78	0.42	0.91	28.12	31.03
7/3/2025 2:30:16 PM	0.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.98	62.95	-0.91	28.61	0	982	0	0	0	0	0	0	982	114.83	0.36	0.43	6.53	1.07	5.63	0.17	0.91	28.18	31.06
7/3/2025 2:30:19 PM	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	1.05	63.00	-0.91	28.65	0	1050	0	0	0	0	0	0	1050	114.92	0.61	0.47	6.67	1.16	5.92	0.30	0.91	28.28	31.04
7/3/2025 2:30:21 PM	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	1.05	63.16	-0.91	28.60	0	1047	0	0	0	0	0	0	1047	115.22	0.70	0.25	6.57	0.66	6.14	0.37	0.91	28.33	31.06
7/3/2025 2:30:24 PM	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	1.13	63.47	-0.91	28.61	0	1132	0	0	0	0	0	0	1132	115.77	0.40	0.34	7.15	1.12	6.10	0.40	0.91	28.38	31.09
7/3/2025 2:30:26 PM	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.99	62.80	-0.91	28.60	0	993	0	0	0	0	0	0	993	114.56	-0.05	-0.48	6.55	1.03	5.95	0.38	0.91	28.42	31.16
7/3/2025 2:30:30 PM	0.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	1.45	63.05	-0.91	28.57	0	1445	0	0	0	0	0	0	1445	115.02	0.50	0.11	5.92	1.61	9.75	0.26	0.91	28.49	31.14
7/3/2025 2:30:32 PM	0.00	1.09	0.00	0.00	0.00	0.00	0.00	0.00	1.09	62.57	-0.90	28.51	0	1087	0	0	0	0	0	0	1087	114.13	-0.37	1.23	6.22	-0.42	7.03	1.56	0.91	28.52	31.17
7/3/2025 2:30:35 PM	0.67	0.94	0.00	0.00	0.00	0.00	0.00	0.00	1.61	63.32	-0.90	28.45	357	936	0	0	0	0	0	0	1293	115.50	0.31	0.42	6.30	1.67	6.94	3.47	0.91	28.56	31.17
