Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/18/2025 12:25:53 PM	0.00	2.64	0.00	0.00	0.00	0.00	0.00	0.35	2.64	50.43	-0.72	24.70	0	2644	0	0	0	0	0	0	2644	92.00	-0.53	1.25	12.08	8.66	12.44	2.26	0.93	24.95	25.31
6/18/2025 12:25:56 PM	0.90	1.33	0.00	0.00	0.00	0.00	0.00	0.00	2.23	51.89	-0.62	24.70	476	1332	0	0	0	0	0	0	1808	94.66	-1.52	1.93	13.35	-1.15	3.57	7.03	0.94	25.01	25.32
6/18/2025 12:25:59 PM	0.00	1.78	0.00	0.00	0.00	0.00	0.00	0.00	1.78	48.72	-0.60	24.66	0	1785	0	0	0	0	0	0	1785	88.89	1.59	1.97	8.57	4.60	8.67	-5.69	0.94	25.01	25.34
6/18/2025 12:26:02 PM	15.80	0.00	0.00	22.73	0.00	0.00	0.00	0.00	38.53	28.50	-0.57	24.69	8376	0	0	682	0	0	0	0	9058	52.01	64.80	18.00	68.19	40.31	108.51	177.43	0.94	25.05	25.37
6/18/2025 12:26:04 PM	46.82	24.50	30.51	34.85	0.00	0.00	0.00	0.00	136.69	15.86	-0.54	24.72	24817	24497	13732	1046	0	0	0	0	64091	28.96	168.89	67.06	281.17	106.80	281.12	546.59	0.95	25.09	25.39
6/18/2025 12:26:07 PM	43.42	22.50	29.90	36.06	0.00	0.00	0.00	0.00	131.87	14.86	-0.51	24.40	23011	22496	13453	1082	0	0	0	0	60042	27.14	169.20	68.46	272.30	104.75	274.60	532.63	0.95	25.12	25.39
6/18/2025 12:26:10 PM	38.51	20.94	33.24	34.55	0.00	0.00	0.00	0.00	127.24	15.62	-0.48	24.14	20411	20944	14958	1036	0	0	0	0	57350	28.53	169.20	63.48	260.42	100.23	264.79	521.07	0.95	25.17	25.44
6/18/2025 12:26:13 PM	37.68	21.06	32.94	31.81	0.00	0.00	0.00	0.00	123.49	13.80	-0.46	23.69	19969	21062	14823	954	0	0	0	0	56809	25.21	161.64	60.85	252.26	97.74	253.89	501.90	0.96	25.18	25.39
6/18/2025 12:26:15 PM	36.21	20.70	32.48	28.90	0.00	0.00	0.00	0.00	118.30	15.65	-0.45	23.60	19194	20704	14615	867	0	0	0	0	55380	28.59	153.42	58.20	240.50	96.51	239.81	476.40	0.96	25.23	25.42
6/18/2025 12:26:18 PM	33.29	22.42	32.88	23.24	0.00	0.00	0.00	0.00	111.83	15.15	-0.42	23.20	17642	22423	14796	697	0	0	0	0	55558	27.68	140.01	52.94	228.92	90.72	222.77	438.34	0.96	25.25	25.44
6/18/2025 12:26:21 PM	32.23	21.80	32.00	22.41	0.00	0.00	0.00	0.00	108.44	15.72	-0.40	22.80	17081	21802	14398	672	0	0	0	0	53953	28.70	134.98	50.73	222.63	84.84	216.13	427.02	0.96	25.28	25.47
6/18/2025 12:26:23 PM	32.07	22.14	32.97	22.57	0.00	0.00	0.00	0.00	109.76	16.05	-0.38	22.81	16998	22144	14834	677	0	0	0	0	54653	29.32	137.08	51.83	225.75	85.10	218.44	432.82	0.96	25.31	25.50
6/18/2025 12:26:27 PM	25.28	19.18	28.72	20.08	0.00	0.00	0.00	0.00	93.26	16.13	-0.34	22.32	13398	19176	12924	602	0	0	0	0	46100	29.45	118.82	44.82	195.44	67.21	189.93	371.01	0.97	25.35	25.52
6/18/2025 12:26:29 PM	20.04	17.22	26.55	14.43	0.00	0.00	0.00	0.00	78.24	17.35	-0.32	21.98	10622	17221	11948	433	0	0	0	0	40223	31.69	98.80	36.71	163.56	58.20	156.06	305.93	0.97	25.35	25.58
6/18/2025 12:26:32 PM	18.08	12.93	20.12	11.45	0.00	0.00	0.00	0.00	62.58	17.47	-0.28	22.11	9585	12929	9053	344	0	0	0	0	31910	31.91	77.75	27.60	127.57	50.48	123.48	244.55	0.97	25.37	25.57
6/18/2025 12:26:35 PM	15.65	10.75	16.04	8.98	0.00	0.00	0.00	0.00	51.42	17.11	-0.26	22.15	8297	10746	7219	269	0	0	0	0	26532	31.24	62.25	22.26	104.79	41.48	101.00	199.86	0.97	25.38	25.57
6/18/2025 12:26:37 PM	14.53	11.05	15.79	8.12	0.00	0.00	0.00	0.00	49.50	17.02	-0.27	22.19	7703	11053	7106	244	0	0	0	0	26106	31.08	59.46	21.39	102.10	39.36	97.71	189.87	0.97	25.42	25.63
6/18/2025 12:26:40 PM	7.15	3.42	4.78	4.21	0.00	0.00	0.00	0.00	19.56	47.99	-0.67	22.57	3791	3417	2152	126	0	0	0	0	9487	87.55	22.70	6.99	40.77	11.89	41.60	81.15	0.93	25.44	25.60
6/18/2025 12:26:43 PM	0.00	0.56	0.00	0.08	0.00	0.00	0.00	0.00	0.64	62.80	-0.78	23.13	0	560	0	2	0	0	0	0	562	114.56	1.86	6.21	4.92	-1.75	3.94	0.74	0.92	25.45	25.63
6/18/2025 12:26:46 PM	0.48	0.65	0.00	0.00	0.00	0.00	0.00	0.00	1.13	63.63	-0.72	23.25	255	650	0	0	0	0	0	0	905	116.06	-0.74	2.43	6.90	2.41	3.34	1.88	0.93	25.46	25.63
6/18/2025 12:26:49 PM	0.00	0.56	0.00	0.33	0.00	0.00	0.00	0.00	0.89	63.26	-0.78	23.39	0	557	0	10	0	0	0	0	567	115.40	0.69	4.57	3.69	-1.06	7.48	2.48	0.92	25.49	25.57
6/18/2025 12:26:51 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	65.72	-0.77	23.45	0	0	0	0	0	0	0	0	0	119.88	-0.26	2.61	3.14	3.67	-1.11	0.38	0.92	25.52	25.68
6/18/2025 12:26:54 PM	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.18	0.51	65.28	-0.77	23.51	0	509	0	0	0	0	0	0	509	119.08	1.56	0.45	3.27	3.84	5.48	0.72	0.92	25.52	25.68
6/18/2025 12:26:57 PM	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.19	65.37	-0.77	23.61	0	187	0	0	0	0	0	0	187	119.24	-2.57	-4.61	2.40	-0.23	5.95	-1.76	0.92	25.55	25.68
6/18/2025 12:27:58 PM	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.10	0.45	66.88	-0.77	23.87	0	452	0	0	0	0	0	0	452	121.99	0.67	0.23	1.94	2.67	6.56	0.34	0.92	25.30	25.68
6/18/2025 12:28:01 PM	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.41	65.86	-0.76	23.90	0	407	0	0	0	0	0	0	407	120.13	0.15	-2.46	3.70	-0.92	5.55	-3.07	0.93	25.36	25.73
6/18/2025 12:28:03 PM	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.53	63.38	-0.76	23.91	0	527	0	0	0	0	0	0	527	115.61	0.60	1.42	3.15	-0.16	6.07	-3.53	0.93	25.35	25.73
6/18/2025 12:28:06 PM	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.30	66.84	-0.76	23.88	0	297	0	0	0	0	0	0	297	121.93	-2.71	3.04	4.00	-0.48	3.63	-0.60	0.93	25.38	25.76
6/18/2025 12:28:08 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	63.18	-0.77	23.92	0	0	0	0	0	0	0	0	0	115.25	0.19	3.41	1.69	0.18	2.69	-3.47	0.92	25.45	25.74
6/18/2025 12:28:11 PM	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	1.05	64.98	-0.76	23.92	0	1049	0	0	0	0	0	0	1049	118.52	-1.69	-3.02	9.35	1.36	4.15	0.12	0.93	25.44	25.79
6/18/2025 12:28:14 PM	0.00	0.90	0.00	0.00	0.00	0.00	0.00	0.05	0.90	64.23	-0.77	23.92	0	896	0	0	0	0	0	0	896	117.17	-0.73	1.82	5.74	4.14	5.53	-2.80	0.92	25.48	25.82
6/18/2025 12:28:16 PM	0.00	0.20	0.11	0.00	0.00	0.00	0.00	0.00	0.31	65.25	-0.76	23.94	0	204	48	0	0	0	0	0	252	119.02	1.27	-2.32	3.74	-1.17	3.75	1.74	0.93	25.48	25.81
6/18/2025 12:28:19 PM	0.00	0.54	0.15	0.00	0.00	0.00	0.00	0.00	0.69	63.29	-0.77	23.92	0	541	69	0	0	0	0	0	609	115.46	3.00	1.39	4.84	1.42	3.76	-0.08	0.92	25.51	25.76
6/18/2025 12:28:22 PM	0.00	1.22	0.47	0.00	0.00	0.00	0.00	0.00	1.69	65.48	-0.78	23.92	0	1219	211	0	0	0	0	0	1431	119.45	6.68	2.43	10.32	1.23	3.24	1.06	0.92	25.52	25.87
6/18/2025 12:28:24 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	69.43	-0.78	23.94	0	0	0	0	0	0	0	0	0	126.64	-5.08	-1.01	4.61	-2.55	1.99	-1.76	0.92	25.58	25.85
6/18/2025 12:28:28 PM	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.00	1.11	65.71	-0.70	23.88	0	1106	0	0	0	0	0	0	1106	119.86	2.86	0.66	7.84	-0.25	5.21	-3.27	0.93	25.56	25.84
6/18/2025 12:28:30 PM	20.30	4.16	14.17	8.21	0.00	0.00	0.00	0.00	46.84	47.01	-0.56	24.07	10758	4161	6376	246	0	0	0	0	21541	85.77	58.24	20.22	77.77	59.37	76.58	189.74	0.95	25.59	25.87
6/18/2025 12:28:33 PM	20.49	9.13	28.09	9.92	0.00	0.00	0.00	0.00	67.63	39.92	-0.51	24.28	10860	9134	12638	298	0	0	0	0	32930	72.83	91.50	25.91	117.21	79.13	115.44	270.54	0.95	25.61	25.84
6/18/2025 12:28:36 PM	29.35	9.41	28.25	14.14	0.00	0.00	0.00	0.00	81.14	41.43	-0.48	24.20	15557	9406	12710	424	0	0	0	0	38097	75.60	107.47	34.92	138.10	103.44	137.55	321.91	0.95	25.64	25.90
6/18/2025 12:28:38 PM	30.23	6.75	25.64	15.81	0.00	0.00	0.00	0.00	78.43	41.44	-0.44	24.09	16023	6746	11537	474	0	0	0	0	34780	75.61	106.53	30.27	128.29	104.12	135.28	317.85	0.96	25.67	25.97
6/18/2025 12:28:41 PM	29.63	5.43	20.93	17.54	0.00	0.00	0.00	0.00	73.53	43.25	-0.40	23.94	15706	5432	9417	526	0	0	0	0	31081	78.91	100.84	32.43	122.63	97.33	130.68	301.01	0.96	25.66	25.90
6/18/2025 12:28:44 PM	26.34	7.69	26.83	14.51	0.00	0.00	0.00	0.00	75.37	41.99	-0.36	23.83	13959	7687	12074	435	0	0	0	0	34156	76.60	103.63	34.14	128.10	96.45	129.03	304.42	0.96	25.67	25.92
6/18/2025 12:28:47 PM	27.95	7.53	27.63	16.34	0.00	0.00	0.00	0.00	79.44	41.96	-0.33	23.69	14812	7529	12433	490	0	0	0	0	35264	76.57	111.54	36.02	133.53	106.41	137.71	319.99	0.97	25.71	25.93
6/18/2025 12:28:50 PM	30.14	7.68	26.44	17.32	0.00	0.00	0.00	0.00	81.58	43.16	-0.32	23.61	15974	7679	11898	520	0	0	0	0	36071	78.74	113.05	37.11	137.17	110.44	142.44	326.77	0.97	25.72	25.98
6/18/2025 12:28:52 PM	28.90	7.54	28.32	17.29	0.00	0.00	0.00	0.00	82.05	43.79	-0.30	23.36	15318	7539	12743	519	0	0	0	0	36118	79.89	116.06	36.85	137.30	111.17	143.04	330.62	0.97	25.73	25.98
6/18/2025 12:28:55 PM	29.67	7.30	31.08	18.29	0.00	0.00	0.00	0.00	86.35	43.65	-0.25	22.89	15725	7304	13987	549	0	0	0	0	37565	79.63	124.37	38.72	142.84	118.32	149.36	350.71	0.98	25.75	26.03
6/18/2025 12:28:58 PM	28.30	6.78	33.17	17.06	0.00	0.00	0.00	0.00	85.32	45.40	-0.21	22.77	15001	6779	14928	512	0	0	0	0	37219	82.82	124.82	36.04	137.81	119.50	144.88	347.85	0.98	25.76	26.02
6/18/2025 12:29:01 PM	28.27	4.78	27.52	17.26	0.00	0.00	0.00	0.00	77.83	46.77	-0.25	22.76	14983	4782	12385	518	0	0	0	0	32668	85.33	113.17	33.61	124.48	109.93	133.06	321.31	0.98	25.76	26.03
6/18/2025 12:29:03 PM	13.43	4.23	19.10	5.79	0.00	0.00	0.00	0.00	42.54	48.37	-0.56	22.59	7116	4228	8594	174	0	0	0	0	20112	88.24	60.77	17.31	68.09	61.32	68.13	169.38	0.95	25.76	26.03
6/18/2025 12:29:06 PM	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	1.17	64.16	-0.75	23.11	0	1174	0	0	0	0	0	0	1174	117.04	-1.63	-1.19	6.46	-0.76	8.41	-0.54	0.93	25.80	26.06
6/18/2025 12:29:09 PM	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.66	63.16	-0.71	23.17	0	660	0	0	0	0	0	0	660	115.21	4.51	-0.78	3.74	-3.33	6.69	-1.05	0.93	25.79	26.05
6/18/2025 12:29:11 PM	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.36	66.11	-0.70	23.32	0	361	0	0	0	0	0	0	361	120.60	0.96	-0.25	5.13	1.57	2.33	-1.00	0.93	25.82	26.11
6/18/2025 12:29:14 PM	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.12	0.07	68.68	-0.70	23.39	0	67	0	0	0	0	0	0	67	125.29	-2.38	-1.59	1.73	3.06	4.81	0.56	0.93	25.81	26.06
6/18/2025 12:29:16 PM	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.26	66.71	-0.69	23.48	0	0	0	8	0	0	0	0	8	121.69	0.13	3.02	2.17	-1.62	4.32	2.86	0.93	25.82	26.06
6/18/2025 12:31:59 PM	0.00	2.13	0.00	0.05	0.00	0.00	0.00	0.00	2.18	66.71	-0.76	23.64	0	2130	0	2	0	0	0	0	2132	121.69	11.64	0.76	7.80	-1.77	12.15	-3.83	0.93	24.56	25.71
6/18/2025 12:32:02 PM	1.15	1.15	0.00	0.00	0.00	0.00	0.00	0.00	2.30	81.57	-0.79	23.59	608	1151	0	0	0	0	0	0	1759	148.78	-4.41	-0.85	9.61	2.04	7.22	6.32	0.92	24.64	25.76
6/18/2025 12:32:05 PM	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.45	62.53	-0.76	23.58	0	446	0	0	0	0	0	0	446	114.07	1.11	4.14	2.05	-2.79	6.41	-0.36	0.93	24.69	25.76
6/18/2025 12:32:08 PM	0.00	1.69	0.00	0.00	0.00	0.00	0.00	0.00	1.69	64.72	-0.75	23.57	0	1694	0	0	0	0	0	0	1694	118.05	0.03	-1.02	11.32	2.83	5.98	-0.33	0.93	24.73	25.79
6/18/2025 12:32:10 PM	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.71	59.44	-0.76	23.56	0	709	0	0	0	0	0	0	709	108.43	-1.07	4.78	4.49	-1.22	5.69	0.66	0.93	24.75	25.76
6/18/2025 12:32:13 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	33.47	-0.75	23.61	0	0	0	0	0	0	0	0	0	61.08	-0.38	-3.19	-4.08	2.43	1.50	2.83	0.93	24.83	25.84
6/18/2025 12:32:16 PM	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.28	46.28	-0.78	23.59	680	0	0	0	0	0	0	0	680	84.43	-2.68	-2.86	1.40	3.26	5.24	5.44	0.92	24.85	25.82
6/18/2025 12:32:19 PM	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.14	0.25	59.16	-0.76	23.61	0	248	0	0	0	0	0	0	248	107.92	-3.16	-1.59	1.98	3.63	6.05	0.63	0.93	24.86	25.89
6/18/2025 12:32:21 PM	0.01	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	62.74	-0.76	23.61	8	997	0	0	0	0	0	0	1005	114.44	-0.88	0.56	6.27	1.16	6.23	0.75	0.93	24.91	25.85
6/18/2025 12:32:24 PM	0.00	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.89	63.53	-0.76	23.62	0	892	0	0	0	0	0	0	892	115.88	-2.66	1.66	5.47	1.23	6.49	-0.88	0.93	24.95	25.90
6/18/2025 12:32:27 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.57	-0.75	23.63	0	0	0	0	0	0	0	0	0	44.86	0.57	-0.92	0.22	0.34	0.26	-0.90	0.93	25.00	25.90
6/18/2025 12:32:30 PM	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.19	0.41	62.77	-0.76	23.59	0	408	0	0	0	0	0	0	408	114.50	-2.04	-0.84	5.07	4.37	3.68	1.05	0.93	25.01	25.89
6/18/2025 12:32:33 PM	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.83	36.36	-0.75	23.54	967	0	0	0	0	0	0	0	967	66.35	-3.66	2.50	2.67	1.58	4.24	9.44	0.93	25.04	25.97
6/18/2025 12:32:35 PM	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.56	56.39	-0.74	23.44	0	562	0	0	0	0	0	0	562	102.87	2.07	-0.53	1.85	0.75	7.67	-4.65	0.93	25.06	25.95
6/18/2025 12:32:38 PM	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.02	1.44	68.88	-0.75	23.35	0	1442	0	0	0	0	0	0	1442	125.64	-3.93	1.37	8.79	4.23	6.96	-1.93	0.93	25.09	25.93
6/18/2025 12:32:41 PM	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.26	49.32	-0.71	23.35	0	258	0	0	0	0	0	0	258	89.98	2.11	-6.13	3.12	-3.62	5.68	1.03	0.93	25.12	25.93
6/18/2025 12:32:44 PM	4.20	1.15	0.00	0.00	0.00	0.00	0.00	0.00	5.35	43.82	-0.57	23.51	2224	1151	0	0	0	0	0	0	3374	79.96	1.89	1.81	8.33	9.87	12.29	15.38	0.94	25.15	25.97
6/18/2025 12:32:47 PM	16.60	0.00	7.52	22.21	0.00	0.00	0.00	0.00	46.33	41.54	-0.52	23.89	8798	0	3384	666	0	0	0	0	12849	75.79	81.03	37.91	84.68	69.46	102.08	200.59	0.95	25.15	26.00
6/18/2025 12:32:49 PM	18.96	0.88	7.42	27.25	0.00	0.00	0.00	0.00	54.51	51.66	-0.48	23.91	10048	882	3337	817	0	0	0	0	15085	94.25	98.05	26.80	97.05	83.74	134.65	230.10	0.95	25.20	26.02
6/18/2025 12:32:52 PM	20.61	0.00	3.98	27.82	0.00	0.00	0.00	0.00	52.41	53.51	-0.41	23.63	10921	0	1789	835	0	0	0	0	13545	97.62	91.46	36.94	96.53	78.25	126.14	224.97	0.96	25.20	26.02
6/18/2025 12:32:55 PM	26.42	1.24	2.54	28.65	0.00	0.00	0.00	0.00	58.85	44.58	-0.36	23.49	14002	1237	1145	859	0	0	0	0	17243	81.33	95.07	41.16	107.95	92.47	134.81	241.00	0.96	25.23	26.03
6/18/2025 12:32:58 PM	25.21	2.75	8.77	28.23	0.00	0.00	0.00	0.00	64.96	46.38	-0.32	22.74	13363	2746	3948	847	0	0	0	0	20904	84.62	104.93	45.56	120.67	94.69	142.18	268.25	0.97	25.26	26.05
6/18/2025 12:33:00 PM	30.51	1.46	4.83	33.40	0.00	0.00	0.00	0.00	70.19	47.34	-0.29	22.75	16171	1457	2171	1002	0	0	0	0	20801	86.37	113.51	51.76	129.16	108.08	156.42	290.02	0.97	25.25	26.00
6/18/2025 12:33:03 PM	41.57	0.74	1.40	33.69	0.00	0.00	0.00	0.00	77.41	44.76	-0.22	22.61	22032	741	632	1011	0	0	0	0	24416	81.66	110.14	48.68	135.16	114.24	161.94	321.71	0.98	25.27	26.03
6/18/2025 12:33:05 PM	35.16	5.03	13.77	17.92	0.00	0.00	0.00	0.00	71.87	45.53	-0.23	22.04	18634	5027	6195	538	0	0	0	0	30395	83.06	91.19	32.45	118.44	101.33	127.38	286.17	0.98	25.31	26.05
6/18/2025 12:33:08 PM	29.23	2.70	6.98	18.39	0.00	0.00	0.00	0.00	57.30	38.61	-0.36	22.27	15494	2700	3143	552	0	0	0	0	21887	70.46	75.89	31.17	97.51	82.34	108.61	231.80	0.96	25.32	26.11
6/18/2025 12:33:11 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	49.46	-0.72	22.88	0	0	0	0	0	0	0	0	0	90.24	-4.60	2.50	-7.78	6.62	-0.99	-3.59	0.93	25.32	26.06
6/18/2025 12:33:14 PM	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13	66.79	-0.65	22.96	598	0	0	0	0	0	0	0	598	121.82	-0.88	-0.26	2.63	1.66	4.17	5.25	0.94	25.35	26.16
6/18/2025 12:33:17 PM	0.00	0.26	0.16	0.00	0.00	0.00	0.00	0.02	0.42	66.25	-0.64	23.06	0	264	71	0	0	0	0	0	335	120.85	2.82	-0.75	4.34	1.78	2.66	-0.01	0.94	25.36	26.08
6/18/2025 12:33:19 PM	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.24	0.29	65.26	-0.64	23.14	0	286	0	0	0	0	0	0	286	119.04	2.50	0.15	2.02	4.86	5.11	0.16	0.94	25.39	26.08
6/18/2025 12:33:22 PM	0.29	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.66	66.20	-0.63	23.19	154	372	0	0	0	0	0	0	526	120.76	-0.11	-0.13	3.93	1.74	4.44	1.07	0.94	25.38	26.13
6/18/2025 12:34:42 PM	0.00	0.81	0.00	0.00	0.00	0.00	0.00	0.00	0.81	66.11	-0.75	23.45	0	807	0	0	0	0	0	0	807	120.59	-0.17	0.37	5.20	-0.99	6.38	-0.52	0.93	24.82	25.90
6/18/2025 12:34:45 PM	0.04	0.53	0.10	0.00	0.00	0.00	0.00	0.00	0.67	64.74	-0.75	23.48	20	527	47	0	0	0	0	0	594	118.08	1.31	-2.80	5.32	-0.35	4.52	1.81	0.93	24.90	25.97
6/18/2025 12:34:48 PM	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.19	0.56	65.39	-0.75	23.47	0	560	0	0	0	0	0	0	560	119.27	2.77	-2.80	4.42	4.23	5.04	0.17	0.93	24.94	25.98
6/18/2025 12:34:51 PM	0.00	0.84	0.09	0.00	0.00	0.00	0.00	0.32	0.93	65.08	-0.75	23.46	0	840	39	0	0	0	0	0	878	118.71	3.42	-3.65	6.10	6.10	5.81	2.23	0.93	24.96	26.00
6/18/2025 12:34:53 PM	0.00	0.50	0.00	0.34	0.00	0.00	0.00	0.00	0.84	66.67	-0.75	23.48	0	495	0	10	0	0	0	0	505	121.62	3.07	2.45	5.12	-0.31	5.32	1.76	0.93	25.00	26.03
6/18/2025 12:34:56 PM	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.53	67.18	-0.74	23.48	0	529	0	0	0	0	0	0	529	122.55	0.87	1.36	3.85	0.84	4.78	0.08	0.93	25.03	26.06
