VC:46e9e7d BD:Jun  9 2016 SN:US4300170200001328
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,     [CH4L]_ppm,  [CH4L]_ppm_sd,     [CH4H]_ppm,  [CH4H]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  12/31/2001 19:02:37.827,    2.23472e+00,    0.00000e+00,    2.23472e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.30983e+04,    0.00000e+00,    4.24801e+02,    0.00000e+00,    2.28756e+00,    0.00000e+00,    4.34845e+02,    0.00000e+00,    1.40394e+02,    0.00000e+00,    2.69595e+01,    0.00000e+00,    3.05648e+01,    0.00000e+00,    1.20363e+01,    0.00000e+00,    1.09218e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:38.822,    2.21221e+00,    0.00000e+00,    2.21221e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.31015e+04,    0.00000e+00,    4.24523e+02,    0.00000e+00,    2.26452e+00,    0.00000e+00,    4.34562e+02,    0.00000e+00,    1.40438e+02,    0.00000e+00,    2.69595e+01,    0.00000e+00,    3.05599e+01,    0.00000e+00,    1.20356e+01,    0.00000e+00,    1.09301e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:39.818,    2.18751e+00,    0.00000e+00,    2.18751e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.29521e+04,    0.00000e+00,    4.24344e+02,    0.00000e+00,    2.23890e+00,    0.00000e+00,    4.34313e+02,    0.00000e+00,    1.40437e+02,    0.00000e+00,    2.69603e+01,    0.00000e+00,    3.05725e+01,    0.00000e+00,    1.20323e+01,    0.00000e+00,    1.09279e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:40.813,    2.15955e+00,    0.00000e+00,    2.15955e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.28721e+04,    0.00000e+00,    4.24408e+02,    0.00000e+00,    2.21010e+00,    0.00000e+00,    4.34342e+02,    0.00000e+00,    1.40410e+02,    0.00000e+00,    2.69610e+01,    0.00000e+00,    3.05700e+01,    0.00000e+00,    1.20326e+01,    0.00000e+00,    1.09254e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:41.808,    2.12324e+00,    0.00000e+00,    2.12324e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.30753e+04,    0.00000e+00,    4.24572e+02,    0.00000e+00,    2.17339e+00,    0.00000e+00,    4.34600e+02,    0.00000e+00,    1.40385e+02,    0.00000e+00,    2.69614e+01,    0.00000e+00,    3.05750e+01,    0.00000e+00,    1.20401e+01,    0.00000e+00,    1.09300e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:42.804,    2.10842e+00,    0.00000e+00,    2.10842e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.29875e+04,    0.00000e+00,    4.24713e+02,    0.00000e+00,    2.15802e+00,    0.00000e+00,    4.34706e+02,    0.00000e+00,    1.40379e+02,    0.00000e+00,    2.69619e+01,    0.00000e+00,    3.05678e+01,    0.00000e+00,    1.20354e+01,    0.00000e+00,    1.09288e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:43.800,    2.10147e+00,    0.00000e+00,    2.10147e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.26339e+04,    0.00000e+00,    4.24293e+02,    0.00000e+00,    2.15013e+00,    0.00000e+00,    4.34118e+02,    0.00000e+00,    1.40450e+02,    0.00000e+00,    2.69621e+01,    0.00000e+00,    3.05675e+01,    0.00000e+00,    1.20331e+01,    0.00000e+00,    1.09311e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:44.796,    2.07046e+00,    0.00000e+00,    2.07046e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.24528e+04,    0.00000e+00,    4.24162e+02,    0.00000e+00,    2.11801e+00,    0.00000e+00,    4.33904e+02,    0.00000e+00,    1.40469e+02,    0.00000e+00,    2.69623e+01,    0.00000e+00,    3.05668e+01,    0.00000e+00,    1.20387e+01,    0.00000e+00,    1.09334e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:45.821,    2.05640e+00,    0.00000e+00,    2.05640e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.32607e+04,    0.00000e+00,    4.24652e+02,    0.00000e+00,    2.10537e+00,    0.00000e+00,    4.34765e+02,    0.00000e+00,    1.40455e+02,    0.00000e+00,    2.69631e+01,    0.00000e+00,    3.05762e+01,    0.00000e+00,    1.20348e+01,    0.00000e+00,    1.09302e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:46.785,    2.03668e+00,    0.00000e+00,    2.03668e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.26498e+04,    0.00000e+00,    4.24459e+02,    0.00000e+00,    2.08388e+00,    0.00000e+00,    4.34296e+02,    0.00000e+00,    1.40393e+02,    0.00000e+00,    2.69639e+01,    0.00000e+00,    3.05813e+01,    0.00000e+00,    1.20313e+01,    0.00000e+00,    1.09294e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:47.781,    2.03356e+00,    0.00000e+00,    2.03356e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.26308e+04,    0.00000e+00,    4.24389e+02,    0.00000e+00,    2.08065e+00,    0.00000e+00,    4.34216e+02,    0.00000e+00,    1.40368e+02,    0.00000e+00,    2.69646e+01,    0.00000e+00,    3.05829e+01,    0.00000e+00,    1.20398e+01,    0.00000e+00,    1.09350e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:48.776,    2.03150e+00,    0.00000e+00,    2.03150e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.26022e+04,    0.00000e+00,    4.24479e+02,    0.00000e+00,    2.07848e+00,    0.00000e+00,    4.34295e+02,    0.00000e+00,    1.40384e+02,    0.00000e+00,    2.69650e+01,    0.00000e+00,    3.05774e+01,    0.00000e+00,    1.20371e+01,    0.00000e+00,    1.09320e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:49.773,    2.02727e+00,    0.00000e+00,    2.02727e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.29250e+04,    0.00000e+00,    4.25089e+02,    0.00000e+00,    2.07484e+00,    0.00000e+00,    4.35063e+02,    0.00000e+00,    1.40425e+02,    0.00000e+00,    2.69653e+01,    0.00000e+00,    3.05752e+01,    0.00000e+00,    1.20345e+01,    0.00000e+00,    1.09250e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:50.768,    2.03902e+00,    0.00000e+00,    2.03902e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.27537e+04,    0.00000e+00,    4.24988e+02,    0.00000e+00,    2.08649e+00,    0.00000e+00,    4.34884e+02,    0.00000e+00,    1.40472e+02,    0.00000e+00,    2.69657e+01,    0.00000e+00,    3.05754e+01,    0.00000e+00,    1.20352e+01,    0.00000e+00,    1.09278e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:51.764,    2.03536e+00,    0.00000e+00,    2.03536e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.24456e+04,    0.00000e+00,    4.24915e+02,    0.00000e+00,    2.08210e+00,    0.00000e+00,    4.34671e+02,    0.00000e+00,    1.40416e+02,    0.00000e+00,    2.69673e+01,    0.00000e+00,    3.05859e+01,    0.00000e+00,    1.20383e+01,    0.00000e+00,    1.09276e+01,    0.00000e+00,              3,              0,       1 meters
  12/31/2001 19:02:52.760,    2.03766e+00,    0.00000e+00,    2.03766e+00,    0.00000e+00,   -1.00000e-02,    0.00000e+00,    2.25471e+04,    0.00000e+00,    4.24823e+02,    0.00000e+00,    2.08466e+00,    0.00000e+00,    4.34622e+02,    0.00000e+00,    1.40390e+02,    0.00000e+00,    2.69670e+01,    0.00000e+00,    3.05851e+01,    0.00000e+00,    1.20386e+01,    0.00000e+00,    1.09296e+01,    0.00000e+00,              3,              0,       1 meters
