"Plot Title: hobo10_Meso_20250617"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10789309, SEN S/N: 10789309)","Bad Battery (LGR S/N: 10789309)","Coupler Attached (LGR S/N: 10789309)","Coupler Detached (LGR S/N: 10789309)","Host Connected (LGR S/N: 10789309)","Stopped (LGR S/N: 10789309)","End Of File (LGR S/N: 10789309)"
1,06/18/25 12:00:00 PM,45.828,,,,,,
2,06/18/25 12:10:00 PM,46.008,,,,,,
3,06/18/25 12:20:00 PM,46.548,,,,,,
4,06/18/25 12:30:00 PM,47.266,,,,,,
5,06/18/25 12:40:00 PM,47.802,,,,,,
6,06/18/25 12:50:00 PM,48.339,,,,,,
7,06/18/25 01:00:00 PM,48.695,,,,,,
8,06/18/25 01:10:00 PM,49.228,,,,,,
9,06/18/25 01:20:00 PM,49.759,,,,,,
10,06/18/25 01:30:00 PM,50.290,,,,,,
11,06/18/25 01:40:00 PM,50.643,,,,,,
12,06/18/25 01:50:00 PM,50.819,,,,,,
13,06/18/25 02:00:00 PM,50.995,,,,,,
14,06/18/25 02:10:00 PM,50.995,,,,,,
15,06/18/25 02:20:00 PM,49.228,,,,,,
16,06/18/25 02:30:00 PM,52.050,,,,,,
17,06/18/25 02:40:00 PM,55.537,,,,,,
18,06/18/25 02:50:00 PM,56.923,,,,,,
19,06/18/25 03:00:00 PM,57.785,,,,,,
20,06/18/25 03:10:00 PM,58.303,,,,,,
21,06/18/25 03:20:00 PM,58.647,,,,,,
22,06/18/25 03:30:00 PM,58.993,,,,,,
23,06/18/25 03:40:00 PM,59.164,,,,,,
24,06/18/25 03:50:00 PM,60.195,,,,,,
25,06/18/25 04:00:00 PM,70.824,,,,,,
26,06/18/25 04:10:00 PM,73.407,,,,,,
27,06/18/25 04:20:00 PM,74.619,,,,,,
28,06/18/25 04:30:00 PM,75.139,,,,,,
29,06/18/25 04:40:00 PM,75.312,,,,,,
30,06/18/25 04:50:00 PM,75.484,,,,,,
31,06/18/25 05:00:00 PM,75.659,,,,,,
32,06/18/25 05:10:00 PM,75.659,,,,,,
33,06/18/25 05:20:00 PM,75.484,,,,,,
34,06/18/25 05:30:00 PM,75.312,,,,,,
35,06/18/25 05:40:00 PM,74.791,,,,,,
36,06/18/25 05:50:00 PM,74.446,,,,,,
37,06/18/25 06:00:00 PM,74.791,,,,,,
